bernoulli | EpsilonGreedy | Horizon 1 | Run 0 | Cumulative Reward: 1.0 | Total Regret: -0.09999999999999998
bernoulli | EpsilonGreedy | Horizon 1 | Run 1 | Cumulative Reward: 0.0 | Total Regret: 0.9
bernoulli | EpsilonGreedy | Horizon 1 | Run 2 | Cumulative Reward: 1.0 | Total Regret: -0.09999999999999998
bernoulli | EpsilonGreedy | Horizon 1 | Run 3 | Cumulative Reward: 0.0 | Total Regret: 0.9
bernoulli | EpsilonGreedy | Horizon 1 | Run 4 | Cumulative Reward: 0.0 | Total Regret: 0.9
bernoulli | EpsilonGreedy | Horizon 1 | Run 5 | Cumulative Reward: 1.0 | Total Regret: -0.09999999999999998
bernoulli | EpsilonGreedy | Horizon 1 | Run 6 | Cumulative Reward: 0.0 | Total Regret: 0.9
bernoulli | EpsilonGreedy | Horizon 1 | Run 7 | Cumulative Reward: 0.0 | Total Regret: 0.9
bernoulli | EpsilonGreedy | Horizon 1 | Run 8 | Cumulative Reward: 0.0 | Total Regret: 0.9
bernoulli | EpsilonGreedy | Horizon 1 | Run 9 | Cumulative Reward: 0.0 | Total Regret: 0.9
bernoulli | KL-UCB | Horizon 1 | Run 0 | Cumulative Reward: 0.0 | Total Regret: 0.9
bernoulli | KL-UCB | Horizon 1 | Run 1 | Cumulative Reward: 1.0 | Total Regret: -0.09999999999999998
bernoulli | KL-UCB | Horizon 1 | Run 2 | Cumulative Reward: 0.0 | Total Regret: 0.9
bernoulli | KL-UCB | Horizon 1 | Run 3 | Cumulative Reward: 0.0 | Total Regret: 0.9
bernoulli | KL-UCB | Horizon 1 | Run 4 | Cumulative Reward: 0.0 | Total Regret: 0.9
bernoulli | KL-UCB | Horizon 1 | Run 5 | Cumulative Reward: 0.0 | Total Regret: 0.9
bernoulli | KL-UCB | Horizon 1 | Run 6 | Cumulative Reward: 0.0 | Total Regret: 0.9
bernoulli | KL-UCB | Horizon 1 | Run 7 | Cumulative Reward: 0.0 | Total Regret: 0.9
bernoulli | KL-UCB | Horizon 1 | Run 8 | Cumulative Reward: 0.0 | Total Regret: 0.9
bernoulli | KL-UCB | Horizon 1 | Run 9 | Cumulative Reward: 0.0 | Total Regret: 0.9
bernoulli | ThompsonSampling | Horizon 1 | Run 0 | Cumulative Reward: 0.0 | Total Regret: 0.9
bernoulli | ThompsonSampling | Horizon 1 | Run 1 | Cumulative Reward: 0.0 | Total Regret: 0.9
